2025-02-10 12:40:56.583: DGCSG(
  (ae): AE(
    (enc_1): Linear(in_features=2000, out_features=500, bias=True)
    (enc_2): Linear(in_features=500, out_features=2000, bias=True)
    (z_layer): Linear(in_features=2000, out_features=10, bias=True)
    (dec_1): Linear(in_features=10, out_features=2000, bias=True)
    (dec_2): Linear(in_features=2000, out_features=500, bias=True)
    (x_bar_layer): Linear(in_features=500, out_features=2000, bias=True)
    (act): LeakyReLU(negative_slope=0.2, inplace=True)
  )
  (gate_1): GATLayer(
    (leakyrelu): LeakyReLU(negative_slope=0.3)
  )
  (gate_2): GATLayer(
    (leakyrelu): LeakyReLU(negative_slope=0.3)
  )
  (gate_3): GATLayer(
    (leakyrelu): LeakyReLU(negative_slope=0.3)
  )
  (s): Sigmoid()
)
2025-02-10 12:40:56.583: Namespace(name='Pollen', cuda=False, n_z=10, lr=0.0001, n_clusters=11, n_input=2000, alpha=10, beta=3e-05)
2025-02-10 12:40:56.583: metrics:	 nmi	 ari
2025-02-10 12:40:58.515: epoch79 Q:	0.8125	0.7150
2025-02-10 12:40:58.524: epoch80 Q:	0.8204	0.7240
2025-02-10 12:40:58.531: epoch81 Q:	0.8204	0.7240
2025-02-10 12:40:58.541: epoch82 Q:	0.8204	0.7240
2025-02-10 12:40:58.551: epoch83 Q:	0.8204	0.7240
2025-02-10 12:40:58.559: epoch84 Q:	0.8204	0.7240
2025-02-10 12:40:58.567: epoch85 Q:	0.8172	0.7249
2025-02-10 12:40:58.576: epoch86 Q:	0.8209	0.7322
2025-02-10 12:40:58.586: epoch87 Q:	0.8178	0.7276
2025-02-10 12:40:58.594: epoch88 Q:	0.8215	0.7352
2025-02-10 12:40:58.602: epoch89 Q:	0.8215	0.7352
2025-02-10 12:40:58.610: epoch90 Q:	0.8160	0.7283
2025-02-10 12:40:58.619: epoch91 Q:	0.8197	0.7359
2025-02-10 12:40:58.628: epoch92 Q:	0.8318	0.7429
2025-02-10 12:40:58.636: epoch93 Q:	0.8318	0.7429
2025-02-10 12:40:58.646: epoch94 Q:	0.8318	0.7429
2025-02-10 12:40:58.654: epoch95 Q:	0.8318	0.7429
2025-02-10 12:40:58.663: epoch96 Q:	0.8325	0.7440
2025-02-10 12:40:58.671: epoch97 Q:	0.8325	0.7440
2025-02-10 12:40:58.682: epoch98 Q:	0.8325	0.7440
2025-02-10 12:40:58.691: epoch99 Q:	0.8331	0.7444
2025-02-10 12:40:58.699: epoch100 Q:	0.8401	0.7514
2025-02-10 12:40:58.708: epoch101 Q:	0.8401	0.7514
2025-02-10 12:40:58.717: epoch102 Q:	0.8401	0.7514
2025-02-10 12:40:58.727: epoch103 Q:	0.8401	0.7514
2025-02-10 12:40:58.735: epoch104 Q:	0.8401	0.7514
2025-02-10 12:40:58.744: epoch105 Q:	0.8390	0.7507
2025-02-10 12:40:58.753: epoch106 Q:	0.8390	0.7507
2025-02-10 12:40:58.763: epoch107 Q:	0.8390	0.7507
2025-02-10 12:40:58.773: epoch108 Q:	0.8462	0.7547
2025-02-10 12:40:58.782: epoch109 Q:	0.8462	0.7547
2025-02-10 12:40:58.792: epoch110 Q:	0.8462	0.7547
2025-02-10 12:40:58.800: epoch111 Q:	0.8462	0.7547
2025-02-10 12:40:58.808: epoch112 Q:	0.8462	0.7547
2025-02-10 12:40:58.816: epoch113 Q:	0.8462	0.7547
2025-02-10 12:40:58.826: epoch114 Q:	0.8462	0.7547
2025-02-10 12:40:58.834: epoch115 Q:	0.8462	0.7547
2025-02-10 12:40:58.843: epoch116 Q:	0.8462	0.7547
2025-02-10 12:40:58.853: epoch117 Q:	0.8457	0.7544
2025-02-10 12:40:58.861: epoch118 Q:	0.8457	0.7544
2025-02-10 12:40:58.869: epoch119 Q:	0.8457	0.7544
2025-02-10 12:40:58.877: epoch120 Q:	0.8457	0.7544
2025-02-10 12:40:58.887: epoch121 Q:	0.8457	0.7544
2025-02-10 12:40:58.894: epoch122 Q:	0.8501	0.7630
2025-02-10 12:40:58.903: epoch123 Q:	0.8501	0.7630
2025-02-10 12:40:58.913: epoch124 Q:	0.8501	0.7630
2025-02-10 12:40:58.921: epoch125 Q:	0.8501	0.7630
2025-02-10 12:40:58.930: epoch126 Q:	0.8501	0.7630
2025-02-10 12:40:58.938: epoch127 Q:	0.8501	0.7630
2025-02-10 12:40:58.947: epoch128 Q:	0.8501	0.7630
2025-02-10 12:40:58.955: epoch129 Q:	0.8501	0.7630
2025-02-10 12:40:58.963: epoch130 Q:	0.8516	0.7647
2025-02-10 12:40:58.971: epoch131 Q:	0.8516	0.7647
2025-02-10 12:40:58.981: epoch132 Q:	0.8516	0.7647
2025-02-10 12:40:58.989: epoch133 Q:	0.8566	0.7737
2025-02-10 12:40:58.996: epoch134 Q:	0.8566	0.7737
2025-02-10 12:40:59.004: epoch135 Q:	0.8566	0.7737
2025-02-10 12:40:59.012: epoch136 Q:	0.8566	0.7737
2025-02-10 12:40:59.022: epoch137 Q:	0.8566	0.7737
2025-02-10 12:40:59.031: epoch138 Q:	0.8585	0.7757
2025-02-10 12:40:59.039: epoch139 Q:	0.8585	0.7757
2025-02-10 12:40:59.047: epoch140 Q:	0.8585	0.7757
2025-02-10 12:40:59.056: epoch141 Q:	0.8585	0.7757
2025-02-10 12:40:59.065: epoch142 Q:	0.8585	0.7757
2025-02-10 12:40:59.073: epoch143 Q:	0.8592	0.7769
2025-02-10 12:40:59.081: epoch144 Q:	0.8592	0.7769
2025-02-10 12:40:59.091: epoch145 Q:	0.8615	0.7791
2025-02-10 12:40:59.099: epoch146 Q:	0.8615	0.7791
2025-02-10 12:40:59.108: epoch147 Q:	0.8600	0.7774
2025-02-10 12:40:59.116: epoch148 Q:	0.8615	0.7791
2025-02-10 12:40:59.126: epoch149 Q:	0.8615	0.7791
2025-02-10 12:40:59.134: epoch150 Q:	0.8614	0.7785
2025-02-10 12:40:59.142: epoch151 Q:	0.8642	0.7807
2025-02-10 12:40:59.151: epoch152 Q:	0.8628	0.7791
2025-02-10 12:40:59.159: epoch153 Q:	0.8628	0.7791
2025-02-10 12:40:59.167: epoch154 Q:	0.8628	0.7791
2025-02-10 12:40:59.176: epoch155 Q:	0.8628	0.7791
2025-02-10 12:40:59.185: epoch156 Q:	0.8628	0.7791
2025-02-10 12:40:59.194: epoch157 Q:	0.8628	0.7791
2025-02-10 12:40:59.202: epoch158 Q:	0.8628	0.7791
2025-02-10 12:40:59.213: epoch159 Q:	0.8632	0.7786
2025-02-10 12:40:59.222: epoch160 Q:	0.8632	0.7786
2025-02-10 12:40:59.231: epoch161 Q:	0.8632	0.7786
